"","x"
"724","Plxna4"
"725","Plxnb1"
"726","Plxnb2"
"727","Plxnb3"
"728","Plxnc1"
"729","Plxnd1"
"730","Podxl"
"731","Prlhr"
"732","Prlr"
"733","Procr"
"734","Prokr2"
"735","Prss55"
"736","Prtg"
"737","Psen1"
"738","Ptch1"
"739","Ptch2"
"740","Ptgdr"
"741","Ptgdr2"
"742","Ptger3"
"743","Ptgfrn"
"744","Ptgir"
"745","Pth1r"
"746","Pth2r"
"747","Ptk7"
"748","Ptprb"
"749","Ptprc"
"750","Ptprd"
"751","Ptprf"
"752","Ptprg"
"753","Ptprj"
"754","Ptprk"
"755","Ptprm"
"756","Ptpro"
"757","Ptprs"
"758","Ptprt"
"759","Ptprz1"
"760","Pvr"
"761","Pvrig"
"762","Ramp1"
"763","Ramp2"
"764","Ramp3"
"765","Reck"
"766","Ren1"
"767","Ret"
"768","Rgmb"
"769","Rhag"
"770","Rhbdl2"
"771","Rnf43"
"772","Robo1"
"773","Robo2"
"774","Robo3"
"775","Robo4"
"776","Ror1"
"777","Ror2"
"778","Rtn4"
"779","Rtn4r"
"780","Rxfp1"
"781","Rxfp2"
"782","Rxfp4"
"783","Ryk"
"784","S1pr1"
"785","S1pr2"
"786","Scarb1"
"787","Scarf1"
"788","Scn10a"
"789","Scn11a"
"790","Scn1a"
"791","Scn1b"
"792","Scn2a"
"793","Scn2b"
"794","Scn3a"
"795","Scn4a"
"796","Scn5a"
"797","Scn8a"
"798","Scn9a"
"799","Sctr"
"800","Sdc1"
"801","Sdc2"
"802","Sdc3"
"803","Sdc4"
"804","Sdk2"
"805","Sele"
"806","Sell"
"807","Selp"
"808","Selplg"
"809","Sema4d"
"810","Sema6a"
"811","Sgcg"
"812","Sigirr"
"813","Siglec1"
"814","Siglec15"
"815","Slamf1"
"816","Slamf7"
"817","Slamf9"
"818","Slc1a5"
"819","Slc37a1"
"820","Slc40a1"
"821","Slc4a11"
"822","Slc6a12"
"823","Slc6a19"
"824","Slc9a1"
"825","Smo"
"826","Sorcs1"
"827","Sorl1"
"828","Sort1"
"829","Spaca6"
"830","Spn"
"831","Sstr1"
"832","Sstr2"
"833","Sstr3"
"834","Sstr4"
"835","Sstr5"
"836","St14"
"837","Stab1"
"838","Stra6"
"839","Stx1a"
"840","Stx3"
"841","Sv2a"
"842","Sv2b"
"843","Sv2c"
"844","Tacr1"
"845","Tacr2"
"846","Tacr3"
"847","Tap1"
"848","Tap2"
"849","Tarm1"
"850","Tbxa2r"
"851","Tctn2"
"852","Tctn3"
"853","Tectb"
"854","Tek"
"855","Tex101"
"856","Tfr2"
"857","Tfrc"
"858","Tgfbr1"
"859","Tgfbr2"
"860","Tgfbr3"
"861","Thbd"
"862","Thsd7a"
"863","Thy1"
"864","Tie1"
"865","Tigit"
"866","Timd4"
"867","Tlr1"
"868","Tlr2"
"869","Tlr4"
"870","Tlr5"
"871","Tlr6"
"872","Tlr9"
"873","Tmc1"
"874","Tmc2"
"875","Tmed5"
"876","Tmem123"
"877","Tmem132a"
"878","Tmem167"
"879","Tmem190"
"880","Tmem216"
"881","Tmem53"
"882","Tmem59l"
"883","Tmem67"
"884","Tmem81"
"885","Tmem95"
"886","Tmigd3"
"887","Tmprss6"
"888","Tnfrsf11a"
"889","Tnfrsf11b"
"890","Tnfrsf12a"
"891","Tnfrsf13b"
"892","Tnfrsf13c"
"893","Tnfrsf17"
"894","Tnfrsf18"
"895","Tnfrsf19"
"896","Tnfrsf1a"
"897","Tnfrsf1b"
"898","Tnfrsf21"
"899","Tnfrsf25"
"900","Tnfrsf4"
"901","Tnfrsf8"
"902","Tnfrsf9"
"903","Tpo"
"904","Traf2"
"905","Trem1"
"906","Trem2"
"907","Treml2"
"908","Trhde"
"909","Trhr"
"910","Trpc6"
"911","Trpm1"
"912","Trpv2"
"913","Trpv5"
"914","Trpv6"
"915","Tshr"
"916","Tspan1"
"917","Tspan10"
"918","Tspan13"
"919","Tspan14"
"920","Tspan15"
"921","Tspan17"
"922","Tspan33"
"923","Tspan5"
"924","Tyro3"
"925","Tyrobp"
"926","Unc5a"
"927","Unc5b"
"928","Unc5c"
"929","Unc5d"
"930","Uxs1"
"931","Vcam1"
"932","Vipr1"
"933","Vipr2"
"934","Vldlr"
"935","Vsig10l"
"936","Vsig4"
"937","Vsig8"
"938","Vsir"
"939","Vstm2b"
"940","Vtcn1"
"941","Xcr1"
